Counties,Units Sold 2018,Units Sold 2017,Units Sold % Chg,Average Price 2018,Average Price 2017,Price % Chg,Median Price 2018,Median Price 2017,Median  % Chg,Med Days Market 2018,Med Days Market 2017
Allegany County,622,648,-4%,108916,97097,12%,95210,85000,12%,53,79
Anne Arundel County,9112,9060,1%,403349,386316,4%,343000,330000,4%,24,28
Baltimore City,9057,9379,-3%,182088,180785,1%,152450,141000,8%,29,32
Baltimore County,10669,10890,-2%,283423,275893,3%,240000,233000,3%,21,26
Calvert County,1675,1737,-4%,350956,338544,4%,319900,315000,2%,32,40
Caroline County,362,390,-7%,190836,179998,6%,180000,176000,2%,35,61
Carroll County,2390,2382,0%,338010,328715,3%,319900,309998,3%,20,24
Cecil County,1319,1412,-7%,235309,227371,4%,225000,219000,3%,31,44
Charles County,2757,2832,-3%,311739,295701,5%,300000,285000,5%,23,24
Dorchester County,434,419,4%,194048,181483,7%,167450,150000,12%,45,75
Frederick County,4445,4497,-1%,341426,322778,6%,320000,305000,5%,20,22
Garrett County,479,496,-3%,337954,368860,-8%,250000,285000,-12%,77,78
Harford County,3919,3831,2%,281578,273315,3%,253000,249000,2%,21,27
Howard County,4362,4583,-5%,456190,445808,2%,419720,410000,2%,16,20
Kent County,324,334,-3%,278301,260472,7%,222500,220000,1%,61,74
Montgomery County,12471,12802,-3%,540288,522213,4%,440000,420000,5%,15,18
Prince George's County,11175,11028,1%,302049,289587,4%,290000,280000,4%,20,20
Queen Anne's County,873,931,-6%,374633,364340,3%,329900,316500,4%,43,45
Somerset County,231,218,6%,128103,122903,4%,118200,109900,8%,82,80
St. Mary's County,1638,1664,-2%,294659,288713,2%,275206,274900,0%,32,41
Talbot County,662,704,-6%,451318,460055,-2%,310000,311875,-1%,55,53
Washington County,1794,1784,1%,214634,199209,8%,199900,183000,9%,36,37
Wicomico County,1269,1255,1%,165808,161207,3%,155000,152000,2%,35,43
Worcester County,2325,2424,-4%,285397,274495,4%,247500,240000,3%,58,60
