TABLE 1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,"Units
Sold",,,"Average Sales
Price",,,"Median Sales
Price",,"Units
(Under","Pending
Contract)",,"Active
Inventory",Months,"of
Inventory*","Median
Market",Days on,New,Listings
,2020,2019,% Chg,2020,2019,% Chg,2020,2019,% Chg,2020,2019,2020,2019,2020,2019,2020,2019,2020,2019
Allegany County,769,695,10.60%,"$125,067 ","$111,568 ",12.10%,"$115,000 ","$99,100 ",16.00%,808,689,162,319,2.5,5.5,30,54,895,986
Anne Arundel County,"11,247","10,033",12.10%,"$450,652 ","$411,407 ",9.50%,"$383,000 ","$357,000 ",7.30%,"11,696","10,216",703,"1,839",0.8,2.2,10,22,12833,13079
Baltimore City,"9,838","9,102",8.10%,"$206,659 ","$186,893 ",10.60%,"$179,500 ","$158,200 ",13.50%,"10,400","9,308","1,445","3,129",1.8,4.1,22,31,13248,14877
Baltimore County,"11,642","10,953",6.30%,"$319,867 ","$294,006 ",8.80%,"$269,000 ","$250,000 ",7.60%,"12,029","11,068",767,"2,115",0.8,2.3,10,21,13337,14635
Calvert County,"2,015","1,738",15.90%,"$397,759 ","$366,356 ",8.60%,"$359,900 ","$331,000 ",8.70%,"2,113","1,730",135,414,0.8,2.9,12,26,2323,2396
Caroline County,444,439,1.10%,"$226,496 ","$199,362 ",13.60%,"$225,000 ","$189,700 ",18.60%,477,453,64,140,1.7,3.8,27,31,504,578
Carroll County,"2,819","2,473",14.00%,"$380,910 ","$348,752 ",9.20%,"$355,000 ","$325,000 ",9.20%,"2,890","2,501",138,505,0.6,2.5,9,20,3063,3330
Cecil County,"1,622","1,478",9.70%,"$278,372 ","$247,831 ",12.30%,"$257,500 ","$230,000 ",12.00%,"1,664","1,526",180,444,1.3,3.6,11,26,1892,2107
Charles County,"3,398","3,103",9.50%,"$356,582 ","$323,609 ",10.20%,"$345,000 ","$315,000 ",9.50%,"3,525","3,150",182,625,0.6,2.4,9,20,3909,4369
Dorchester County,525,443,18.50%,"$238,143 ","$202,969 ",17.30%,"$195,000 ","$175,000 ",11.40%,571,456,102,222,2.3,6,41,50,619,633
Frederick County,"5,548","4,500",23.30%,"$381,851 ","$349,780 ",9.20%,"$357,225 ","$325,340 ",9.80%,"5,928","4,646",327,975,0.7,2.6,8,19,6647,6636
Garrett County,708,518,36.70%,"$436,946 ","$347,995 ",25.60%,"$325,000 ","$242,500 ",34.00%,730,527,96,309,1.6,7.2,55,88,681,752
Harford County,"4,650","4,197",10.80%,"$321,630 ","$300,514 ",7.00%,"$294,650 ","$272,700 ",8.00%,"4,738","4,281",253,713,0.7,2,7,17,5096,5529
Howard County,"4,704","4,483",4.90%,"$493,074 ","$464,190 ",6.20%,"$450,000 ","$418,000 ",7.70%,"4,781","4,548",272,606,0.7,1.6,8,16,5483,6084
Kent County,433,333,30.00%,"$332,523 ","$296,260 ",12.20%,"$252,500 ","$231,750 ",9.00%,459,327,75,187,2.1,6.7,41,54,467,528
Montgomery County,"13,499","12,804",5.40%,"$589,409 ","$554,548 ",6.30%,"$482,291 ","$450,000 ",7.20%,"13,775","13,000",899,"1,660",0.8,1.6,8,15,15929,16874
Prince George's County,"11,283","11,610",-2.80%,"$355,957 ","$322,660 ",10.30%,"$345,000 ","$310,000 ",11.30%,"11,536","11,733",663,"1,900",0.7,2,10,18,13248,14607
Queen Anne's County,"1,188",875,35.80%,"$488,198 ","$388,093 ",25.80%,"$384,375 ","$339,450 ",13.20%,"1,238",928,153,376,1.5,5.2,27,43,1348,1406
Somerset County,238,269,-11.50%,"$157,779 ","$145,486 ",8.40%,"$153,450 ","$120,000 ",27.90%,273,259,80,121,4,5.4,49,70,328,378
St. Mary's County,"2,113","1,850",14.20%,"$336,423 ","$301,282 ",11.70%,"$320,000 ","$285,000 ",12.30%,"2,209","1,872",143,364,0.8,2.4,10,25,2425,2473
Talbot County,894,640,39.70%,"$640,614 ","$518,112 ",23.60%,"$400,000 ","$355,000 ",12.70%,943,639,155,337,2.1,6.3,39,49,982,953
Washington County,"2,062","1,948",5.90%,"$245,014 ","$215,947 ",13.50%,"$230,000 ","$200,000 ",15.00%,"2,145","1,983",218,543,1.3,3.3,18,29,2336,2657
Wicomico County,"1,330","1,213",9.60%,"$206,638 ","$185,596 ",11.30%,"$189,900 ","$175,000 ",8.50%,"1,424","1,238",185,345,1.7,3.4,20,31,1529,1581
Worcester County,"3,132","2,445",28.10%,"$322,961 ","$295,576 ",9.30%,"$280,000 ","$255,250 ",9.70%,"3,313","2,466",361,988,1.4,4.8,25,51,3250,3228
Maryland,"96,101","88,142",9.00%,"$383,184 ","$350,868 ",9.20%,"$330,000 ","$302,093 ",9.20%,"99,665","89,544","7,758","19,176",1,2.6,11,22,"112,372","120,676"
