County ,Quarter,Year,Count,Median Price
Allegany,Q1,2012,76,107750
Anne Arundel,Q1,2012,1002,320000
Baltimore City,Q1,2012,591,130000
Baltimore,Q1,2012,1527,221990
Calvert,Q1,2012,155,365000
Caroline,Q1,2012,24,155500
Carroll,Q1,2012,296,288500
Cecil,Q1,2012,146,239000
Charles,Q1,2012,342,268000
Dorchester,Q1,2012,16,112500
Frederick,Q1,2012,508,295000
Garrett,Q1,2012,19,150000
Harford,Q1,2012,540,266859
Howard,Q1,2012,853,420000
Kent,Q1,2012,13,230000
Montgomery,Q1,2012,1711,410000
Prince George's,Q1,2012,925,201500
Queen Anne's,Q1,2012,76,311389
St. Mary's,Q1,2012,186,268500
Somerset,Q1,2012,11,150000
Talbot,Q1,2012,53,251000
Washington,Q1,2012,170,179450
Wicomico,Q1,2012,105,160000
Worcester,Q1,2012,58,222500
Allegany,Q2,2012,67,110000
Anne Arundel,Q2,2012,782,298500
Baltimore City,Q2,2012,526,113750
Baltimore,Q2,2012,1171,225000
Calvert,Q2,2012,83,357000
Caroline,Q2,2012,24,285000
Carroll,Q2,2012,231,270000
Cecil,Q2,2012,100,227500
Charles,Q2,2012,289,276390
Dorchester,Q2,2012,11,165000
Frederick,Q2,2012,396,290000
Garrett,Q2,2012,13,125000
Harford,Q2,2012,411,259990
Howard,Q2,2012,589,385000
Kent,Q2,2012,18,252500
Montgomery,Q2,2012,1331,380000
Prince George's,Q2,2012,822,215000
Queen Anne's,Q2,2012,87,303900
St. Mary's,Q2,2012,141,280000
Somerset,Q2,2012,14,136009
Talbot,Q2,2012,37,285000
Washington,Q2,2012,166,179700
Wicomico,Q2,2012,90,156000
Worcester,Q2,2012,35,196000
Allegany,Q3,2012,55,73000
Anne Arundel,Q3,2012,743,287500
Baltimore City,Q3,2012,548,115000
Baltimore,Q3,2012,1188,205000
Calvert,Q3,2012,82,319918
Caroline,Q3,2012,16,135000
Carroll,Q3,2012,186,280000
Cecil,Q3,2012,113,220000
Charles,Q3,2012,221,279900
Dorchester,Q3,2012,20,149500
Frederick,Q3,2012,365,294000
Garrett,Q3,2012,9,108000
Harford,Q3,2012,373,259000
Howard,Q3,2012,531,390000
Kent,Q3,2012,9,244000
Montgomery,Q3,2012,1283,359000
Prince George's,Q3,2012,941,200000
Queen Anne's,Q3,2012,81,281500
St. Mary's,Q3,2012,145,255000
Somerset,Q3,2012,10,147500
Talbot,Q3,2012,39,285000
Washington,Q3,2012,103,200000
Wicomico,Q3,2012,90,164950
Worcester,Q3,2012,46,212450
Allegany,Q4,2012,83,110000
Anne Arundel,Q4,2012,1361,329990
