County ,Quarter,Year,Count,Median Price
Allegany,Q1,2022,43,175000
Anne Arundel,Q1,2022,3210,433000
Baltimore City,Q1,2022,1908,245250
Baltimore,Q1,2022,2694,322500
Calvert,Q1,2022,493,386900
Caroline,Q1,2022,113,265000
Carroll,Q1,2022,695,415000
Cecil,Q1,2022,348,300000
Charles,Q1,2022,1005,400000
Dorchester,Q1,2022,90,236500
Frederick,Q1,2022,1686,432723
Garrett,Q1,2022,59,210000
Harford,Q1,2022,1122,350000
Howard,Q1,2022,1514,518000
Kent,Q1,2022,87,255000
Montgomery,Q1,2022,4419,563000
Prince George's,Q1,2022,2731,405000
Queen Anne's,Q1,2022,321,415000
St. Mary's,Q1,2022,543,357140
Somerset,Q1,2022,56,176500
Talbot,Q1,2022,125,369900
Washington,Q1,2022,490,278250
Wicomico,Q1,2022,299,245000
Worcester,Q1,2022,155,370000
Allegany,Q2,2022,48,159000
Anne Arundel,Q2,2022,2679,425000
Baltimore City,Q2,2022,2270,255000
Baltimore,Q2,2022,3115,310310
Calvert,Q2,2022,456,400000
Caroline,Q2,2022,111,283845
Carroll,Q2,2022,758,405000
Cecil,Q2,2022,428,300000
Charles,Q2,2022,1164,400000
Dorchester,Q2,2022,110,259450
Frederick,Q2,2022,1620,436213
Garrett,Q2,2022,34,194500
Harford,Q2,2022,1224,337000
Howard,Q2,2022,1424,500425
Kent,Q2,2022,76,294750
Montgomery,Q2,2022,4230,545000
Prince George's,Q2,2022,2937,400000
Queen Anne's,Q2,2022,290,436490
St. Mary's,Q2,2022,538,360000
Somerset,Q2,2022,55,212000
Talbot,Q2,2022,106,374500
Washington,Q2,2022,514,282000
Wicomico,Q2,2022,379,245000
Worcester,Q2,2022,119,315000
Allegany,Q3,2022,40,151950
Anne Arundel,Q3,2022,2017,430000
Baltimore City,Q3,2022,1910,250000
Baltimore,Q3,2022,2913,313000
Calvert,Q3,2022,345,398000
Caroline,Q3,2022,82,281500
Carroll,Q3,2022,569,405000
Cecil,Q3,2022,364,300000
Charles,Q3,2022,980,415000
Dorchester,Q3,2022,94,269000
Frederick,Q3,2022,1255,470000
Garrett,Q3,2022,39,215000
Harford,Q3,2022,914,345004
Howard,Q3,2022,974,509018
Kent,Q3,2022,45,275000
Montgomery,Q3,2022,2930,530000
Prince George's,Q3,2022,3082,402500
Queen Anne's,Q3,2022,226,462500
St. Mary's,Q3,2022,434,363205
Somerset,Q3,2022,67,209900
Talbot,Q3,2022,103,377000
Washington,Q3,2022,413,299000
Wicomico,Q3,2022,295,245000
Worcester,Q3,2022,140,338750
Allegany,Q4,2022,36,156250
Anne Arundel,Q4,2022,2774,459000
Baltimore City,Q4,2022,1958,245000
Baltimore,Q4,2022,2887,335000
Calvert,Q4,2022,397,430000
Caroline,Q4,2022,116,292500
Carroll,Q4,2022,737,435000
Cecil,Q4,2022,402,308400
Charles,Q4,2022,920,427858
Dorchester,Q4,2022,104,262688
Frederick,Q4,2022,1593,491342
Garrett,Q4,2022,39,229900
Harford,Q4,2022,1026,380000
Howard,Q4,2022,1428,570500
Kent,Q4,2022,43,289000
Montgomery,Q4,2022,3797,620000
Prince George's,Q4,2022,2927,422000
Queen Anne's,Q4,2022,262,465000
St. Mary's,Q4,2022,511,385000
Somerset,Q4,2022,52,219500
Talbot,Q4,2022,127,365000
Washington,Q4,2022,494,315316
Wicomico,Q4,2022,320,254450
Worcester,Q4,2022,169,375000
